content_raw,content_clean,account_type,account_category,source_file,provisional_label,keyword_hits,strong_hits,medium_hits,reject_hits,match_score,final_label,review_decision,review_notes
May Wins UK Parliament Vote To Allow June 8th Snap Election https://t.co/rCrblWc20I,May Wins UK Parliament Vote To Allow June 8th Snap Election,Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bparliament\\b']","['\\belection\\b', '\\bvote\\b', '\\bparliament\\b']",[],[],30,,,
"#Electors, PLEASE vote your conscience. We can't have a narcissistic, psychopathic, law-ignoring slave to a foreign government as President. https://t.co/7EPbSa7Lqm","#Electors, PLEASE vote your conscience. We can't have a narcissistic, psychopathic, law-ignoring slave to a foreign government as President.",left,LeftTroll,IRAhandle_tweets_7.csv,Politics & Governance,"['\\bvote\\b', '\\bgovernment\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bgovernment\\b', '\\bpresident\\b']",[],[],30,,,
"A voting plan is your MVP on Election Day. Rally w/ us on Twitter, 11/4 @ 1 p.m. ET, to discuss protecting your vote. #ProtectOurVote https://t.co/mkKJnjj4YB","A voting plan is your MVP on Election Day. Rally w/ us on Twitter, 11/4 @ 1 p.m. ET, to discuss protecting your vote. #ProtectOurVote",left,LeftTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']","['\\belection\\b', '\\bvote\\b', '\\bvoting\\b']",[],[],30,,,
The truth is that chronic wobbly-knees are causing GOP to do nothing with immigration reform especially with an election year looming. They think it will hurt chances at luring Hispanic voters. It is a mistake to see Latinos as a monolithic voting group. https://t.co/cHBK08mc8U,The truth is that chronic wobbly-knees are causing GOP to do nothing with immigration reform especially with an election year looming. They think it will hurt chances at luring Hispanic voters. It is a mistake to see Latinos as a monolithic voting group.,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bvoting\\b', '\\bvoters\\b', '\\bimmigration\\b']",[],[],40,,,
Gallup: 80% Americans favor voter photo ID at their voting place in order to vote https://t.co/xXbrnGi3sw #tcot #p2 https://t.co/53qjBtFCsR,Gallup: 80% Americans favor voter photo ID at their voting place in order to vote #tcot #p2,Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bvote\\b', '\\bvoting\\b', '\\bvoter\\b']","['\\bvote\\b', '\\bvoting\\b', '\\bvoter\\b']",[],[],30,,,
"Two months from #French presidential election, voters poised to punish establishment for destructive #immigration:  https://t.co/UPqUItQyTz","Two months from #French presidential election, voters poised to punish establishment for destructive #immigration:",Right,RightTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\belection\\b', '\\bvoters\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bvoters\\b', '\\bimmigration\\b']",[],[],30,,,
2016 Election Turnout: Nearly Half of Eligible Voters Effectively Voted For No President https://t.co/dFhQOB4oN4,2016 Election Turnout: Nearly Half of Eligible Voters Effectively Voted For No President,Right,RightTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belection\\b', '\\bvoters\\b', '\\bpresident\\b']","['\\belection\\b', '\\bvoters\\b', '\\bpresident\\b']",[],[],30,,,
Emma Gonzalez has more class as a high-school senior than Trump as a 71 y.o. illegitimate President. Just FYI: it’s 7 years until she’s eligible to run for Congress... I’d vote for her now!,Emma Gonzalez has more class as a high-school senior than Trump as a 71 y.o. illegitimate President. Just FYI: it’s 7 years until she’s eligible to run for Congress... I’d vote for her now!,left,LeftTroll,IRAhandle_tweets_8.csv,Politics & Governance,"['\\bvote\\b', '\\bcongress\\b', '\\bpresident\\b', '\\btrump\\b']","['\\bvote\\b', '\\bcongress\\b', '\\bpresident\\b']",['\\btrump\\b'],[],32,,,
BREAKING: Another Article 50 defeat for Government as Lords vote 366 to 268 for parliament to have a veto on final Brexit deal.,BREAKING: Another Article 50 defeat for Government as Lords vote 366 to 268 for parliament to have a veto on final Brexit deal.,Hashtager,HashtagGamer,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bvote\\b', '\\bparliament\\b', '\\bgovernment\\b', '\\bbrexit\\b']","['\\bvote\\b', '\\bparliament\\b', '\\bgovernment\\b', '\\bbrexit\\b']",[],[],40,,,
Election-year clash on immigration heads to Supreme Court  #politics,Election-year clash on immigration heads to Supreme Court #politics,local,NewsFeed,IRAhandle_tweets_2.csv,Politics & Governance,"['\\belection\\b', '\\bsupreme court\\b', '\\bimmigration\\b']","['\\belection\\b', '\\bsupreme court\\b', '\\bimmigration\\b']",[],[],30,,,
#top RT TerreBehlog: 🇺🇸 Voter Registration Alert Midterm Elections Coming Soon🇺🇸Register To Vote Now! POTUS Needs … https://t.co/QUPdRHDGaK,#top RT TerreBehlog: 🇺🇸 Voter Registration Alert Midterm Elections Coming Soon🇺🇸Register To Vote Now! POTUS Needs …,Right,RightTroll,IRAhandle_tweets_5.csv,Politics & Governance,"['\\belections\\b', '\\bvote\\b', '\\bvoter\\b']","['\\belections\\b', '\\bvote\\b', '\\bvoter\\b']",[],[],30,,,
NewsOne> Protecting Voters From Voter Suppression & Trump’s ‘Army Of Poll Watchers’ On & Before Election Day https://t.co/m0zv8mLEuX,NewsOne> Protecting Voters From Voter Suppression & Trump’s ‘Army Of Poll Watchers’ On & Before Election Day,left,LeftTroll,IRAhandle_tweets_3.csv,Politics & Governance,"['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b', '\\btrump\\b']","['\\belection\\b', '\\bvoter\\b', '\\bvoters\\b']",['\\btrump\\b'],[],32,,,
Today is the day. Brazil's senate will vote on whether to impeach President Dilma Rousseff #ImpeachmentDay https://t.co/UEMGRWLfJ2,Today is the day. Brazil's senate will vote on whether to impeach President Dilma Rousseff #ImpeachmentDay,left,LeftTroll,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bvote\\b', '\\bsenate\\b', '\\bpresident\\b']","['\\bvote\\b', '\\bsenate\\b', '\\bpresident\\b']",[],[],30,,,
RT mch2601: How President Trump’s Immigration Reform Could Get Past Congress \| #HEDGE accordingly https://t.co/xuYsFhb1KC via PoliticalHed…,RT mch2601: How President Trump’s Immigration Reform Could Get Past Congress \| #HEDGE accordingly via PoliticalHed…,Right,RightTroll,IRAhandle_tweets_2.csv,Politics & Governance,"['\\bcongress\\b', '\\bpresident\\b', '\\bimmigration\\b', '\\btrump\\b']","['\\bcongress\\b', '\\bpresident\\b', '\\bimmigration\\b']",['\\btrump\\b'],[],32,,,
