content_raw,content_clean,language,account_type,account_category,post_type,retweet,source_file,provisional_label,keyword_hits,strong_hits,medium_hits,reject_hits,strong_hit_count,medium_hit_count,reject_hit_count,match_score,final_label,review_decision,review_notes
South Bay job market and economy remain solid https://t.co/zuIX6utIkR #business,South Bay job market and economy remain solid #business,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Economy & Business,"['\\beconomy\\b', '\\bbusiness\\b', '\\bmarket\\b', '\\bjob\\b']","['\\beconomy\\b', '\\bbusiness\\b', '\\bmarket\\b', '\\bjob\\b']",[],[],4,0,0,42,,,
Iran's foreign minister condemns the U.S. Senate's vote to extend the Iran Sanctions Act by 10 years. https://t.co/0WzVmUaKtE,Iran's foreign minister condemns the U.S. Senate's vote to extend the Iran Sanctions Act by 10 years.,English,Hashtager,HashtagGamer,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bvote\\b', '\\bsenate\\b', '\\bsanctions\\b', '\\bminister\\b', '\\biran\\b']","['\\bvote\\b', '\\bsenate\\b', '\\bsanctions\\b']","['\\bminister\\b', '\\biran\\b']",[],3,2,0,42,,,
"Danish centre-right opposition wins election, PM quits party: COPENHAGEN (Reuters) - Danish voters ousted Prime Minister Helle ...  #news","Danish centre-right opposition wins election, PM quits party: COPENHAGEN (Reuters) - Danish voters ousted Prime Minister Helle ... #news",English,news,NewsFeed,,0,IRAhandle_tweets_7.csv,Politics & Governance,"['\\belection\\b', '\\bvoters\\b', '\\bprime minister\\b', '\\bminister\\b']","['\\belection\\b', '\\bvoters\\b', '\\bprime minister\\b']",['\\bminister\\b'],[],3,1,0,39,,,
Obama U know there's no #RussianInterference in US election. BUT U did interfere in #Brexit vote Oh snap! BUSTED https://t.co/0JRkC1loQL,Obama U know there's no #RussianInterference in US election. BUT U did interfere in #Brexit vote Oh snap! BUSTED,English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\belection\\b', '\\bvote\\b', '\\bbrexit\\b', '\\bobama\\b']","['\\belection\\b', '\\bvote\\b', '\\bbrexit\\b']",['\\bobama\\b'],[],3,1,0,38,,,
Ted Strickland waffles on how he would vote on any anti-abortion Supreme Court nominee: Democratic U.S. Senate c...  #Cleveland #politics,Ted Strickland waffles on how he would vote on any anti-abortion Supreme Court nominee: Democratic U.S. Senate c... #Cleveland #politics,English,local,NewsFeed,,0,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bvote\\b', '\\bsenate\\b', '\\bsupreme court\\b', '\\bcourt\\b']","['\\bvote\\b', '\\bsenate\\b', '\\bsupreme court\\b']",['\\bcourt\\b'],[],3,1,0,38,,,
"Merkel,Obama and the puppets in congress who want open borders and mass immigration are globalists One world government Total control","Merkel,Obama and the puppets in congress who want open borders and mass immigration are globalists One world government Total control",English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_4.csv,Politics & Governance,"['\\bgovernment\\b', '\\bcongress\\b', '\\bimmigration\\b', '\\bobama\\b']","['\\bgovernment\\b', '\\bcongress\\b', '\\bimmigration\\b']",['\\bobama\\b'],[],3,1,0,38,,,
The UK Supreme Court rules government must hold a vote before triggering the exit process from the EU For more go to https://t.co/lWVaR2Qca6 https://t.co/E1xM0kz36w,The UK Supreme Court rules government must hold a vote before triggering the exit process from the EU For more go to,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_6.csv,Politics & Governance,"['\\bgovernment\\b', '\\bvote\\b', '\\bsupreme court\\b', '\\bcourt\\b']","['\\bgovernment\\b', '\\bvote\\b', '\\bsupreme court\\b']",['\\bcourt\\b'],[],3,1,0,38,,,
Brexit Supreme Court ruling: Government prepares for spike in hate crimes upon verdict - The… https://t.co/dNi9GbGcha #hoodienocrime,Brexit Supreme Court ruling: Government prepares for spike in hate crimes upon verdict - The… #hoodienocrime,English,left,LeftTroll,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\bgovernment\\b', '\\bsupreme court\\b', '\\bbrexit\\b', '\\bcourt\\b']","['\\bgovernment\\b', '\\bsupreme court\\b', '\\bbrexit\\b']",['\\bcourt\\b'],[],3,1,0,38,,,
#top RT ChooseToBFree: Border patrol union head: Illegal immigration under President Trump seeing ‘miraculous’ DRO… https://t.co/ubmCcxFpk8,#top RT ChooseToBFree: Border patrol union head: Illegal immigration under President Trump seeing ‘miraculous’ DRO…,English,Right,RightTroll,,0,IRAhandle_tweets_5.csv,Politics & Governance,"['\\bpresident\\b', '\\bimmigration\\b', '\\bborder\\b', '\\btrump\\b']","['\\bpresident\\b', '\\bimmigration\\b', '\\bborder\\b']",['\\btrump\\b'],[],3,1,0,38,,,
"#Obama: Voter ID Laws DO NOT Stop Blacks From Voting http://t.co/eEMrovl8QZ So, Dems Fight Voter ID so They Can Commit Election Fraud? #tcot","#Obama: Voter ID Laws DO NOT Stop Blacks From Voting So, Dems Fight Voter ID so They Can Commit Election Fraud? #tcot",English,Right,RightTroll,RETWEET,1,IRAhandle_tweets_1.csv,Politics & Governance,"['\\belection\\b', '\\bvoter\\b', '\\bvoting\\b', '\\bobama\\b']","['\\belection\\b', '\\bvoter\\b', '\\bvoting\\b']",['\\bobama\\b'],[],3,1,0,38,,,
