platform,actor_handle,created_at,text
synthetic,actor_1,2025-01-01,deborah birx white house covid response coordinator say retire comment came day associated press reported traveled state thanksgiving holiday
synthetic,actor_1,2025-01-01,nancy pelosi never thought pray bush still president house minority leader made declaration mistakenly referring president trump president bush
synthetic,actor_1,2025-01-01,read gop controversial secret fisa memo president donald trump ordered release memo despite protest fbi democrat
synthetic,actor_1,2025-01-01,michigan may allow adoption agency refuse service gay couple
synthetic,actor_1,2025-01-01,house republican working plan help puerto rico democrat say gop leader negotiating good faith
synthetic,actor_1,2025-01-01,democrat sue wisconsin gov scott walker force call special election accuse walker delaying vote fear gop may lose seat
synthetic,actor_1,2025-01-01,president obama summer playlist think good taste
synthetic,actor_1,2025-01-01,friday talking point getting ready obama big speech busy week politics republican new congress began bout legislating president obama ramped agenda preparation next tuesday big speech congress country
synthetic,actor_1,2025-01-01,lee kuan yew legacy say type democracy lky created nurtured stepping prime minister net result economic miracle unrivaled southeast asia punched way weight decade
synthetic,actor_1,2025-01-01,probably surprised bristol palin mad tina fey getting pathetic
synthetic,actor_1,2025-01-01,idaho gov candidate ammon bundy busted protesting police seizure malnourished baby right wing rancher gubernatorial candidate bundy seized public land supporter called baby health treatment medical tyranny
synthetic,actor_1,2025-01-01,u evacuate diplomatic staff cuba following mystery ailment still unclear whether embassy personnel targeted injury
synthetic,actor_1,2025-01-01,duty texas police officer wore pro trump hat problem not take position uniform said san antonio city councilman
synthetic,actor_1,2025-01-01,mcconnell big gamble senate majority leader mitch mcconnell make big legislative throw dice thursday finally unveils
synthetic,actor_1,2025-01-01,really important stabilize public debt level suppose entertainment purpose wanted sane rational even informative discussion public deficit debt one automatically default hair fire greece often get deficit reduction industry
synthetic,actor_1,2025-01-01,hugh hewitt backing democrat senate conservative radio host endorsing loretta sanchez california senate race
synthetic,actor_1,2025-01-01,huffpollster obama approval rating continues climb receiving highest mark second term
synthetic,actor_1,2025-01-01,no deal brexit could lead shortage medicine food fuel government report say previously secret document also warn disease outbreak panic buying supermarket huge traffic jam uk leaf eu without deal
synthetic,actor_1,2025-01-01,gay right activist scoop domain name indiana lawmaker voted religious freedom bill
synthetic,actor_1,2025-01-01,cleveland pass trans friendly bathroom law ahead gop convention city official exactly rolling red carpet republican
synthetic,actor_2,2025-01-01,american believe miracle donald trump sure keep promise
synthetic,actor_2,2025-01-01,isi redrawing iraq map
synthetic,actor_2,2025-01-01,huffpollster donald trump might gaining support among republican voter still trail hillary clinton every national poll
synthetic,actor_2,2025-01-01,louisiana secretary state resigns staffer accuses sexual harassment former executive secretary accused making repeated advance banishing nothing job refused
synthetic,actor_2,2025-01-01,stopped child marriage girl indonesia age sanita stopped child marriage young wed determined stay school understood
synthetic,actor_2,2025-01-01,city banishing highway underground building park top capping highway create park also reconnect urban neighborhood sliced apart expressway building boom
synthetic,actor_2,2025-01-01,pennsylvania republican want democrat state supreme court impeached gerrymandering decision latest state gop attack court integrity
synthetic,actor_2,2025-01-01,held story u iranian prisoner exchange glad
synthetic,actor_2,2025-01-01,kid get vaccinated new california law nobody included confident could accomplish law
synthetic,actor_2,2025-01-01,hillary clinton within striking distance donald trump arizona georgia trump running close race nevada new hampshire
synthetic,actor_2,2025-01-01,lesson hopi trump victory say u couple week ago facebook post one hopi law called donald trump tsuku hopi word clown
synthetic,actor_2,2025-01-01,white house reportedly send pick australia ambassador south korea instead understand sort thing happens australia foreign minister said
synthetic,actor_2,2025-01-01,democrat duck question sen bob menendez corruption trial let legal process play
synthetic,actor_2,2025-01-01,montana democratic candidate affirms support legalizing marijuana rob quist greg gianforte running special election montana lone house seat clashed televised debate saturday
synthetic,actor_2,2025-01-01,house republican focus solving problem not hillary clinton guy going investigate comey investigation see come dirt presidential election coarse enough
synthetic,actor_2,2025-01-01,obama going company getting rich offshore earnings
synthetic,actor_2,2025-01-01,technology may prevent trump delivering job promise robot already cost less operate salary human replace getting cheaper better
synthetic,actor_2,2025-01-01,trump go weird riff really democrat party no not
synthetic,actor_2,2025-01-01,right wing maga artist weird new trump prayer portrait get hilarious makeover jon mcnaughton latest effort brings twitter art critic
synthetic,actor_2,2025-01-01,woman leader turning passion action go forth speak work today never know whose dream may carrying let make sure union movement leader elect truly representative people carry dream together
